EmployeeNumber,Age,Department,JobRole,Gender,Education,MaritalStatus,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,Attrition
339,34,Research & Development,Manufacturing Director,Male,4,Married,3,1,4,3,3,No,13,11,9,5,9,5957,13,No
340,37,Research & Development,Research Scientist,Female,2,Married,3,1,3,2,2,No,17,3,1,0,2,3920,14,No
341,45,Research & Development,Manufacturing Director,Male,4,Married,3,3,1,3,1,No,9,3,2,0,2,6434,17,No
342,37,Research & Development,Manufacturing Director,Male,3,Divorced,3,3,1,3,5,No,17,1,0,0,0,10048,11,Yes
343,39,Research & Development,Healthcare Representative,Female,4,Single,4,3,3,3,1,No,20,19,6,11,8,10938,25,No
346,29,Research & Development,Research Scientist,Male,3,Single,3,4,3,3,1,No,6,6,5,1,5,2340,19,No
347,42,Research & Development,Research Scientist,Female,2,Single,3,1,4,3,1,Yes,10,3,2,0,2,6545,13,No
349,29,Sales,Sales Executive,Male,2,Divorced,3,4,4,3,2,No,10,3,2,0,2,6931,14,No
350,25,Research & Development,Manufacturing Director,Female,3,Married,3,3,1,3,3,No,5,4,2,1,2,4898,12,No
351,42,Research & Development,Laboratory Technician,Female,3,Divorced,3,1,4,3,4,Yes,10,9,6,7,8,2593,11,No
352,40,Research & Development,Research Director,Male,2,Divorced,3,3,1,3,5,No,22,21,7,3,9,19436,19,No
353,51,Research & Development,Research Scientist,Male,3,Married,3,4,3,2,0,No,1,1,0,0,0,2723,11,No
355,31,Research & Development,Laboratory Technician,Male,2,Single,3,2,3,4,2,No,6,5,4,1,4,3479,11,Yes
359,32,Research & Development,Laboratory Technician,Male,3,Married,4,2,2,1,3,No,5,5,1,0,3,2794,20,No
361,38,Sales,Sales Executive,Male,2,Married,3,4,4,3,0,No,13,8,7,7,5,5249,18,No
362,32,Research & Development,Laboratory Technician,Male,1,Single,3,1,4,3,5,No,9,6,2,0,4,2176,13,No
363,46,Sales,Manager,Female,3,Married,3,2,3,2,2,Yes,28,7,7,7,7,16872,12,No
364,28,Research & Development,Laboratory Technician,Male,4,Single,3,3,1,1,5,No,5,0,0,0,0,3485,11,Yes
366,29,Sales,Sales Executive,Male,3,Married,3,2,1,3,2,No,10,0,0,0,0,6644,19,No
367,31,Research & Development,Healthcare Representative,Male,3,Married,4,4,2,3,2,No,10,9,0,7,8,5582,21,No
369,25,Research & Development,Healthcare Representative,Male,2,Divorced,3,1,2,3,2,No,6,6,3,1,5,4000,12,No
372,45,Research & Development,Healthcare Representative,Male,2,Married,3,4,3,3,2,Yes,21,20,7,4,10,13496,14,No
373,36,Research & Development,Laboratory Technician,Male,3,Married,3,4,4,3,4,No,16,15,13,10,11,3210,11,No
374,55,Research & Development,Manager,Male,3,Single,3,1,4,3,2,Yes,37,36,10,4,13,19045,14,No
376,47,Research & Development,Manager,Male,4,Married,3,2,1,2,2,Yes,10,10,7,9,9,11849,12,Yes
377,28,Research & Development,Research Scientist,Male,3,Married,4,4,4,2,3,No,5,5,2,0,4,2070,23,No
378,37,Sales,Sales Executive,Male,4,Married,3,4,3,4,5,No,7,5,4,0,1,6502,14,No
379,21,Research & Development,Research Scientist,Male,2,Single,3,3,4,4,4,No,3,3,2,1,0,3230,17,No
380,37,Research & Development,Research Director,Female,4,Divorced,3,4,1,3,2,Yes,15,5,2,0,2,13603,18,No
381,35,Research & Development,Manager,Female,3,Divorced,3,2,2,2,6,No,10,7,7,6,2,11996,18,No
382,38,Sales,Sales Executive,Female,2,Divorced,4,1,1,3,3,Yes,8,8,0,7,7,5605,24,No
384,26,Research & Development,Manufacturing Director,Female,3,Divorced,4,2,3,1,6,No,6,6,5,1,4,6397,20,No
385,50,Research & Development,Research Director,Male,1,Divorced,3,2,1,2,4,No,28,10,4,1,6,19144,14,No
386,53,Research & Development,Research Director,Male,4,Married,3,3,3,2,5,Yes,21,5,3,1,3,17584,16,No
387,42,Sales,Sales Executive,Male,1,Married,4,3,2,3,3,No,20,20,16,11,6,4907,25,No
388,29,Sales,Sales Executive,Male,2,Single,3,4,2,2,3,No,10,10,7,0,9,4554,18,No
389,55,Research & Development,Laboratory Technician,Male,2,Married,3,4,2,3,4,Yes,12,10,7,0,8,5415,19,No
390,26,Research & Development,Healthcare Representative,Male,2,Married,3,1,1,3,3,Yes,5,5,3,3,3,4741,13,No
391,37,Research & Development,Research Scientist,Female,3,Single,3,4,4,3,3,No,17,17,12,5,7,2115,12,No
392,44,Research & Development,Laboratory Technician,Male,3,Divorced,4,3,4,1,0,Yes,19,1,0,0,0,3161,22,Yes
393,38,Research & Development,Healthcare Representative,Male,4,Divorced,3,4,4,3,2,No,10,2,2,1,2,5745,14,No
394,26,Research & Development,Laboratory Technician,Male,4,Divorced,3,2,1,3,2,Yes,5,3,2,0,2,2373,13,Yes
395,28,Research & Development,Research Scientist,Female,2,Single,4,4,4,3,3,No,5,5,3,0,2,3310,21,No
396,49,Research & Development,Research Director,Female,4,Single,3,1,3,3,4,Yes,22,3,2,1,2,18665,11,No
397,36,Research & Development,Research Scientist,Male,3,Single,3,2,3,3,2,No,10,8,0,7,7,4485,12,No
399,31,Sales,Sales Representative,Female,3,Divorced,3,2,4,2,5,No,2,2,2,2,2,2789,11,No
401,26,Sales,Sales Executive,Male,4,Single,3,4,4,3,0,Yes,8,8,7,7,4,5828,12,Yes
403,37,Research & Development,Research Scientist,Male,3,Married,3,4,2,2,3,Yes,4,4,2,1,2,2326,12,No
404,42,Sales,Sales Executive,Female,3,Married,3,2,3,4,2,No,23,20,4,4,8,13525,14,No
405,18,Research & Development,Laboratory Technician,Male,3,Single,3,3,3,3,2,No,0,0,0,0,0,1420,13,Yes
406,35,Sales,Sales Executive,Male,3,Married,3,2,3,2,3,No,12,11,9,6,9,8020,15,No
407,36,Research & Development,Laboratory Technician,Male,4,Married,3,4,3,3,2,No,4,1,0,0,0,3688,18,No
408,51,Research & Development,Manufacturing Director,Male,3,Divorced,3,2,4,3,3,No,13,4,1,1,2,5482,18,No
410,41,Sales,Manager,Male,4,Single,3,2,4,3,2,No,22,22,10,0,4,16015,19,No
411,18,Sales,Sales Representative,Female,3,Single,3,3,4,3,2,No,0,0,0,0,0,1200,12,No
412,28,Research & Development,Healthcare Representative,Male,2,Single,3,1,2,3,2,No,9,8,3,0,7,5661,19,No
416,31,Sales,Sales Executive,Male,3,Married,3,4,2,2,3,No,10,8,7,7,7,6929,11,No
417,39,Research & Development,Healthcare Representative,Male,3,Divorced,3,4,3,2,5,No,19,18,10,3,7,9613,17,No
419,36,Research & Development,Laboratory Technician,Female,4,Married,3,2,2,3,3,No,11,9,8,0,8,5674,15,No
420,32,Sales,Sales Executive,Male,3,Married,3,3,4,2,3,No,13,13,8,4,8,5484,14,No
421,38,Research & Development,Research Director,Female,2,Married,3,2,1,3,2,No,19,10,8,0,1,12061,17,No
422,58,Research & Development,Healthcare Representative,Male,4,Divorced,3,3,4,3,2,Yes,12,5,3,1,2,5660,13,No
423,31,Research & Development,Research Scientist,Male,4,Married,3,4,3,3,4,Yes,6,5,2,0,3,4821,12,No
424,31,Human Resources,Human Resources,Male,3,Married,3,1,1,3,1,No,9,2,2,1,0,6410,12,No
425,45,Research & Development,Laboratory Technician,Male,3,Divorced,3,1,1,3,2,No,24,24,9,9,11,5210,18,No
426,31,Research & Development,Research Scientist,Male,4,Divorced,3,4,3,1,2,Yes,3,2,2,2,2,2695,18,No
428,33,Research & Development,Manager,Female,4,Married,3,2,4,3,2,No,12,10,6,8,8,11878,11,No
429,39,Research & Development,Manager,Male,1,Married,3,1,3,3,3,Yes,21,21,9,11,10,17068,14,No
430,43,Research & Development,Laboratory Technician,Female,4,Single,3,4,3,3,5,No,9,8,7,1,7,2455,19,No
431,49,Research & Development,Healthcare Representative,Female,2,Single,3,3,3,3,2,Yes,25,7,1,0,7,13964,12,No
433,52,Research & Development,Research Scientist,Male,4,Married,3,2,3,2,3,No,11,8,2,7,7,4941,15,Yes
434,27,Research & Development,Research Scientist,Female,3,Single,3,2,3,2,2,Yes,4,4,3,1,2,2478,12,No
436,32,Sales,Sales Executive,Female,2,Married,3,2,3,3,2,Yes,13,13,12,11,9,5228,11,No
437,27,Sales,Sales Executive,Male,3,Single,3,3,4,3,3,Yes,5,5,4,0,4,4478,11,No
438,31,Sales,Sales Executive,Male,3,Divorced,3,4,4,3,3,No,13,7,7,1,7,7547,12,No
439,32,Research & Development,Research Scientist,Female,4,Single,3,4,1,2,0,No,10,7,7,0,7,5055,16,No
440,28,Research & Development,Research Scientist,Male,4,Married,3,4,1,2,4,Yes,5,3,2,2,2,3464,13,Yes
441,30,Research & Development,Research Scientist,Female,2,Married,3,4,4,3,2,No,11,10,8,1,9,5775,13,No
442,31,Research & Development,Manufacturing Director,Female,2,Married,4,3,3,3,2,No,10,10,9,8,9,8943,24,No
444,39,Research & Development,Manager,Male,2,Married,3,4,3,3,2,No,21,21,9,13,3,19272,15,No
445,39,Sales,Sales Executive,Female,2,Married,3,3,4,2,3,Yes,12,1,0,0,0,5238,18,Yes
446,33,Sales,Sales Executive,Male,3,Single,3,4,2,2,6,No,9,7,7,0,1,4682,14,No
447,47,Research & Development,Research Director,Male,5,Married,3,3,4,3,2,No,21,3,2,1,1,18300,11,No
448,43,Research & Development,Laboratory Technician,Female,4,Divorced,3,3,3,4,3,No,9,9,7,0,0,5257,11,No
449,27,Sales,Sales Executive,Male,1,Married,3,2,3,3,0,Yes,6,5,4,1,4,6349,13,No
450,54,Research & Development,Research Scientist,Female,4,Single,3,3,4,2,4,No,20,4,3,0,3,4869,12,No
451,43,Research & Development,Healthcare Representative,Female,3,Married,3,1,3,2,1,No,10,1,0,0,0,9985,16,No
452,45,Research & Development,Research Scientist,Male,4,Married,3,4,4,3,3,No,12,10,9,9,8,3697,14,No
453,40,Sales,Sales Executive,Male,2,Married,4,4,2,2,2,Yes,6,4,3,0,2,7457,22,No
454,29,Research & Development,Laboratory Technician,Male,4,Married,3,1,2,2,4,Yes,7,7,7,0,7,2119,11,Yes
455,29,Research & Development,Laboratory Technician,Male,5,Single,3,4,2,3,2,No,4,3,2,2,2,3983,17,No
456,30,Sales,Sales Executive,Female,3,Divorced,3,3,4,3,2,No,10,10,9,1,2,6118,13,No
458,27,Sales,Sales Executive,Female,4,Married,3,2,2,3,3,No,8,8,7,0,7,6214,18,No
460,37,Research & Development,Manufacturing Director,Male,2,Divorced,3,4,4,2,2,No,8,6,2,0,4,6347,16,No
461,38,Research & Development,Research Director,Male,2,Divorced,3,4,3,3,3,Yes,12,11,10,2,9,11510,14,No
462,31,Research & Development,Manufacturing Director,Female,4,Single,3,4,3,2,2,Yes,11,11,9,4,10,7143,14,No
463,29,Sales,Sales Executive,Female,1,Divorced,3,2,4,3,2,Yes,7,7,7,1,7,8268,14,No
464,35,Research & Development,Manufacturing Director,Male,4,Single,3,2,3,3,5,No,17,16,6,0,13,8095,13,No
465,23,Research & Development,Research Scientist,Male,1,Divorced,3,4,3,2,2,No,4,4,2,0,2,2904,12,No
466,41,Research & Development,Manufacturing Director,Male,3,Single,3,2,4,3,3,Yes,8,5,4,1,2,6032,15,No
467,47,Sales,Sales Representative,Male,1,Single,3,3,2,3,3,No,5,0,0,0,0,2976,19,No
468,42,Research & Development,Research Director,Female,5,Single,3,4,1,3,2,No,16,1,0,0,0,15992,14,No
469,29,Sales,Sales Executive,Male,3,Married,3,3,4,2,3,No,4,4,3,0,2,4649,14,No
470,42,Human Resources,Human Resources,Male,1,Divorced,3,3,3,3,5,Yes,4,3,2,1,0,2696,11,No
471,32,Research & Development,Laboratory Technician,Female,3,Married,3,2,3,3,4,No,8,8,0,0,7,2370,13,No
473,48,Sales,Manager,Female,1,Married,4,3,1,1,3,No,15,0,0,0,0,12504,21,No
474,37,Research & Development,Research Scientist,Male,3,Divorced,3,1,3,3,2,Yes,13,7,7,6,7,5974,13,No
475,30,Sales,Sales Executive,Female,2,Married,3,3,4,4,2,Yes,4,2,2,2,2,4736,12,No
476,26,Sales,Sales Executive,Male,3,Married,3,3,3,3,3,No,8,8,7,7,7,5296,17,No
477,42,Research & Development,Healthcare Representative,Male,4,Single,4,4,1,3,6,No,14,1,0,0,0,6781,23,No
478,21,Sales,Sales Representative,Female,1,Single,3,2,1,3,3,Yes,3,3,2,1,2,2174,11,Yes
479,36,Sales,Sales Executive,Female,5,Single,3,4,4,3,6,No,7,1,0,0,0,6653,15,No
481,36,Sales,Sales Executive,Male,4,Married,3,4,1,3,2,No,16,13,9,1,12,9699,11,No
482,57,Research & Development,Healthcare Representative,Male,4,Married,3,3,4,3,2,No,15,3,2,1,2,6755,11,No
483,40,Research & Development,Laboratory Technician,Female,4,Married,3,3,4,3,3,Yes,10,7,7,1,7,2213,13,No
484,21,Sales,Sales Representative,Male,2,Single,4,4,1,2,3,No,3,3,2,2,2,2610,24,No
485,33,Sales,Sales Representative,Female,3,Single,3,3,4,3,2,Yes,1,1,0,0,0,2851,13,Yes
486,37,Research & Development,Laboratory Technician,Female,3,Married,4,1,3,3,3,No,17,5,4,0,3,3452,20,No
487,46,Research & Development,Manufacturing Director,Female,4,Married,3,3,3,4,2,No,7,1,0,0,0,5258,14,No
488,41,Sales,Sales Executive,Male,3,Single,3,2,1,3,5,No,8,8,7,7,7,9355,18,Yes
491,50,Research & Development,Healthcare Representative,Male,3,Single,3,4,4,3,2,No,20,4,3,1,3,10496,15,No
492,40,Sales,Sales Executive,Male,2,Married,3,3,3,3,6,Yes,8,6,4,1,0,6380,12,Yes
493,31,Research & Development,Research Scientist,Male,4,Single,3,2,3,3,5,Yes,3,2,2,2,2,2657,16,No
494,21,Sales,Sales Representative,Female,3,Single,3,2,3,3,0,No,1,1,0,0,0,2716,15,Yes
495,29,Research & Development,Research Scientist,Male,3,Single,3,4,4,3,4,No,6,3,2,1,2,2201,16,No
496,35,Research & Development,Healthcare Representative,Male,4,Single,3,2,3,3,5,No,10,1,1,0,0,6540,19,No
497,27,Research & Development,Laboratory Technician,Male,2,Divorced,3,2,4,3,2,No,5,5,2,0,4,3816,11,No
498,28,Sales,Sales Executive,Male,4,Single,3,4,2,3,1,No,7,7,5,0,7,5253,16,No
499,49,Research & Development,Healthcare Representative,Male,3,Single,4,3,2,3,2,No,26,5,2,0,0,10965,24,No
500,51,Sales,Sales Executive,Female,2,Married,3,4,3,2,2,No,18,7,7,0,7,4936,11,No
501,36,Research & Development,Research Scientist,Female,3,Married,3,3,4,3,3,No,6,2,2,2,2,2543,13,No
502,34,Sales,Sales Executive,Male,3,Single,3,4,1,2,3,Yes,9,5,2,0,4,5304,13,Yes
505,55,Research & Development,Manager,Female,3,Single,3,4,3,3,2,Yes,30,5,4,1,2,16659,13,No
507,24,Sales,Sales Executive,Female,4,Divorced,3,3,4,4,2,Yes,5,5,2,0,3,4260,12,No
508,30,Sales,Sales Representative,Male,1,Married,3,2,3,3,3,No,1,1,0,0,0,2476,18,No
510,26,Research & Development,Research Scientist,Male,1,Single,4,1,3,3,2,No,7,6,4,0,4,3102,22,Yes
511,22,Research & Development,Research Scientist,Female,3,Married,3,2,1,3,1,No,2,2,1,1,2,2244,13,No
513,36,Sales,Sales Executive,Male,2,Married,3,3,2,3,2,No,10,10,9,9,0,7596,13,No
514,30,Research & Development,Research Scientist,Male,3,Single,4,4,3,3,4,Yes,3,1,0,0,0,2285,23,Yes
515,37,Research & Development,Laboratory Technician,Female,3,Divorced,3,1,4,2,2,No,18,18,7,12,17,3034,12,No
516,40,Sales,Sales Executive,Female,2,Divorced,3,2,4,3,5,No,8,5,4,1,3,5715,12,No
517,42,Research & Development,Laboratory Technician,Female,4,Divorced,3,1,2,3,5,No,8,5,2,1,2,2576,16,No
518,37,Research & Development,Manufacturing Director,Male,4,Single,3,2,3,2,2,Yes,18,1,0,0,1,4197,12,No
520,43,Research & Development,Research Director,Male,3,Divorced,3,2,1,3,3,No,25,25,10,3,9,14336,11,No
521,40,Research & Development,Laboratory Technician,Female,3,Married,4,3,2,3,3,No,20,1,0,0,0,3448,22,No
522,54,Research & Development,Research Director,Male,2,Married,3,1,1,2,4,No,24,4,2,1,2,19406,11,No
523,34,Sales,Sales Executive,Female,4,Married,3,3,3,3,3,No,6,3,2,1,2,6538,15,No
524,31,Research & Development,Manufacturing Director,Female,2,Married,3,1,2,1,5,No,13,13,10,3,12,4306,12,No
525,43,Research & Development,Laboratory Technician,Male,3,Married,4,4,4,3,1,No,8,3,2,1,2,2258,20,No
526,43,Research & Development,Healthcare Representative,Female,4,Divorced,3,3,3,3,3,Yes,8,5,2,0,2,4522,14,No
527,25,Sales,Sales Executive,Female,2,Single,3,4,2,3,3,Yes,5,5,4,1,3,4487,11,No
529,37,Research & Development,Research Scientist,Female,5,Married,3,3,2,3,2,Yes,15,13,11,10,7,4449,15,No
530,31,Research & Development,Laboratory Technician,Male,2,Married,3,1,4,3,3,No,4,4,2,3,2,2218,12,No
531,39,Research & Development,Manager,Male,1,Divorced,3,3,2,3,3,Yes,21,21,8,1,6,19197,14,No
532,56,Sales,Sales Executive,Female,3,Married,3,1,3,2,0,No,36,7,7,7,7,13212,11,No
533,30,Sales,Sales Executive,Female,3,Single,3,3,2,3,6,No,6,5,4,4,4,6577,11,No
534,41,Sales,Sales Executive,Male,3,Married,3,1,2,3,2,No,10,10,7,0,7,8392,16,No
536,28,Research & Development,Laboratory Technician,Male,2,Divorced,3,1,3,3,2,No,10,10,0,1,8,4558,12,No
538,25,Research & Development,Laboratory Technician,Male,3,Married,3,1,1,3,5,No,6,2,2,0,2,4031,13,Yes
543,52,Research & Development,Manufacturing Director,Male,3,Married,3,3,4,3,4,Yes,28,5,4,0,4,7969,14,No
544,45,Research & Development,Research Scientist,Male,2,Married,4,4,1,2,3,No,8,2,2,0,2,2654,21,No
546,52,Research & Development,Manager,Female,2,Married,3,4,4,1,2,No,31,5,2,1,4,16555,13,No
547,42,Research & Development,Research Scientist,Female,2,Divorced,3,3,1,3,3,No,19,5,4,0,2,4556,11,No
548,30,Research & Development,Manufacturing Director,Female,3,Single,4,4,3,3,2,No,11,5,4,0,2,6091,20,No
549,60,Research & Development,Manager,Female,3,Married,3,1,1,1,5,No,33,29,8,11,10,19566,11,No
550,46,Research & Development,Manufacturing Director,Female,3,Divorced,3,3,3,2,5,No,19,10,7,0,8,4810,14,No
551,42,Research & Development,Healthcare Representative,Female,4,Married,3,4,4,4,4,No,7,6,5,0,4,4523,11,No
554,24,Sales,Sales Representative,Female,1,Single,3,2,1,3,4,Yes,6,5,3,1,4,3202,16,Yes
555,34,Sales,Sales Representative,Female,2,Divorced,3,3,4,2,3,No,3,2,2,1,0,2351,16,Yes
556,38,Research & Development,Laboratory Technician,Male,2,Married,4,4,4,3,3,Yes,1,1,0,0,0,1702,23,No
558,40,Sales,Manager,Female,4,Married,3,3,3,3,2,No,21,20,15,1,12,18041,14,No
560,26,Research & Development,Research Scientist,Female,3,Divorced,4,4,1,1,3,No,3,3,2,0,2,2886,22,No
562,30,Research & Development,Laboratory Technician,Male,3,Married,3,4,3,1,3,No,9,5,3,1,4,2097,15,No
564,29,Research & Development,Research Director,Male,4,Married,3,3,2,3,2,No,10,10,2,0,7,11935,18,No
565,29,Research & Development,Research Scientist,Female,5,Married,3,2,3,4,2,No,6,2,2,1,1,2546,16,Yes
566,19,Human Resources,Human Resources,Male,2,Single,3,4,1,4,3,No,1,1,0,0,0,2564,12,Yes
567,30,Sales,Sales Executive,Female,4,Married,3,1,3,3,3,No,10,9,8,7,8,8412,11,No
568,57,Sales,Manager,Male,3,Divorced,3,4,1,2,3,No,32,1,0,0,0,14118,12,No
569,50,Research & Development,Manager,Male,4,Married,3,3,2,3,2,No,28,27,10,15,7,17046,15,No
571,30,Research & Development,Laboratory Technician,Female,3,Single,3,4,3,2,2,No,12,11,7,6,7,2564,14,No
573,60,Sales,Sales Executive,Female,3,Married,3,1,3,4,5,No,22,18,13,13,11,10266,19,No
574,47,Research & Development,Manufacturing Director,Female,2,Divorced,3,4,1,3,2,No,20,5,0,0,4,5070,13,No
575,46,Research & Development,Research Director,Male,3,Married,3,3,1,1,2,No,26,3,2,0,1,17861,13,No
577,35,Research & Development,Laboratory Technician,Male,3,Single,3,3,4,3,2,No,6,5,4,4,3,4230,15,No
578,54,Research & Development,Laboratory Technician,Female,4,Single,3,3,3,3,3,No,19,1,0,0,0,3780,11,No
579,34,Research & Development,Research Scientist,Male,4,Divorced,3,3,4,3,3,No,14,7,3,5,7,2768,12,No
580,46,Sales,Sales Executive,Female,3,Married,3,4,3,3,3,Yes,15,3,2,1,2,9071,19,No
581,31,Research & Development,Manufacturing Director,Male,1,Divorced,4,2,3,4,6,No,13,13,8,0,8,10648,25,No
582,33,Research & Development,Manager,Male,1,Married,3,3,2,4,2,Yes,15,7,6,7,7,13610,12,Yes
584,33,Research & Development,Laboratory Technician,Male,1,Divorced,3,4,1,3,2,No,8,4,3,1,3,3408,13,Yes
585,30,Sales,Sales Representative,Male,1,Single,3,2,4,3,3,No,4,3,2,1,2,2983,14,No
586,35,Research & Development,Healthcare Representative,Male,3,Married,3,3,4,3,2,Yes,10,8,7,0,0,7632,12,No
587,31,Research & Development,Healthcare Representative,Male,3,Married,3,3,1,3,2,No,12,1,0,0,0,9824,12,Yes
590,34,Human Resources,Human Resources,Female,3,Divorced,3,1,2,3,2,Yes,11,3,2,0,2,9950,15,Yes
591,42,Research & Development,Laboratory Technician,Male,2,Married,3,3,2,3,4,No,8,2,2,2,0,2093,17,No
592,36,Sales,Sales Executive,Male,4,Single,3,4,2,2,3,No,10,10,3,9,7,9980,14,No
593,22,Research & Development,Laboratory Technician,Male,1,Single,3,3,3,3,3,No,4,2,2,1,2,3894,16,Yes
595,48,Sales,Sales Executive,Female,5,Married,3,4,2,3,2,No,14,9,7,6,7,4051,14,No
597,55,Sales,Manager,Female,5,Single,4,2,1,3,2,No,37,10,9,7,7,16835,23,No
599,41,Sales,Sales Executive,Male,2,Single,3,4,4,3,3,No,16,14,3,1,10,6230,14,No
600,35,Sales,Sales Executive,Male,3,Married,3,3,2,3,2,No,15,11,9,6,9,4717,11,No
601,40,Research & Development,Manufacturing Director,Female,3,Single,3,3,2,3,3,No,22,20,6,5,13,13237,15,No
602,39,Research & Development,Laboratory Technician,Female,1,Married,3,3,3,3,3,No,8,8,3,0,7,3755,11,No
604,31,Sales,Sales Executive,Male,1,Single,3,4,2,4,2,Yes,10,6,5,0,5,6582,13,No
605,42,Research & Development,Manufacturing Director,Male,3,Married,4,1,4,2,5,Yes,10,10,9,5,8,7406,21,No
606,45,Sales,Sales Executive,Male,3,Married,3,2,4,4,3,No,9,8,7,3,7,4805,19,No
608,26,Human Resources,Human Resources,Female,4,Divorced,3,3,2,2,2,Yes,8,7,7,1,0,2741,11,Yes
611,29,Research & Development,Manufacturing Director,Male,3,Divorced,3,4,4,4,2,No,8,3,2,1,2,4262,12,No
612,33,Research & Development,Research Director,Female,5,Divorced,3,3,1,3,2,No,10,6,1,0,5,16184,19,No
613,31,Sales,Manager,Male,3,Divorced,4,4,3,2,3,No,10,5,4,0,1,11557,21,No
614,18,Sales,Sales Representative,Male,3,Single,3,2,2,3,3,Yes,0,0,0,0,0,1878,14,Yes
615,40,Sales,Sales Executive,Male,3,Divorced,3,1,3,3,2,No,20,1,0,0,1,10932,15,No
616,41,Research & Development,Healthcare Representative,Female,4,Single,3,3,1,3,3,Yes,10,8,7,0,7,6811,17,No
618,26,Sales,Sales Executive,Male,2,Divorced,3,3,1,3,5,No,8,0,0,0,0,4306,12,No
620,35,Sales,Sales Executive,Female,3,Single,3,3,1,3,3,No,5,5,4,0,3,4859,16,No
621,34,Sales,Sales Executive,Male,4,Single,3,4,4,3,3,No,10,10,7,5,7,5337,12,No
622,26,Research & Development,Laboratory Technician,Male,3,Single,3,4,3,1,3,Yes,1,1,0,0,0,2340,18,Yes
623,37,Research & Development,Manufacturing Director,Female,3,Single,3,4,2,4,3,No,12,6,5,1,2,7491,17,No
624,46,Research & Development,Healthcare Representative,Female,1,Married,3,3,1,2,3,No,28,2,2,1,2,10527,11,No
625,41,Sales,Manager,Female,5,Married,3,1,2,3,2,No,22,18,16,11,8,16595,16,No
626,37,Sales,Sales Executive,Male,4,Divorced,3,2,1,3,6,No,9,9,5,7,7,8834,13,No
630,52,Research & Development,Research Scientist,Male,2,Divorced,3,1,4,3,3,Yes,18,10,9,6,9,5577,12,No
631,32,Sales,Sales Executive,Male,4,Married,3,3,4,3,2,No,6,4,2,1,2,4707,12,Yes
632,24,Sales,Sales Representative,Male,3,Married,3,4,4,3,3,No,3,2,2,2,1,2400,13,No
634,38,Research & Development,Healthcare Representative,Female,3,Married,3,3,3,3,4,No,18,1,0,0,0,9824,19,No
635,37,Research & Development,Manufacturing Director,Female,4,Married,3,2,2,2,2,No,8,6,5,4,3,6447,12,No
638,49,Research & Development,Research Director,Male,4,Divorced,3,3,4,3,5,Yes,31,31,9,0,9,19502,17,No
639,24,Research & Development,Research Scientist,Male,3,Married,3,4,2,3,3,Yes,6,6,5,1,4,2725,11,No
641,26,Sales,Sales Executive,Male,2,Married,4,2,1,4,5,No,6,5,3,1,4,6272,20,No
643,24,Research & Development,Laboratory Technician,Male,2,Married,4,2,4,3,2,No,1,1,0,0,0,2127,21,No
644,50,Human Resources,Manager,Male,3,Married,3,2,1,3,2,No,32,32,5,10,7,18200,11,No
645,25,Sales,Sales Representative,Male,1,Married,3,3,2,3,1,No,7,7,4,0,6,2096,11,No
647,24,Research & Development,Laboratory Technician,Female,3,Married,3,3,1,3,4,Yes,6,6,3,1,2,2886,16,Yes
648,30,Sales,Sales Representative,Male,4,Married,3,1,2,4,2,No,1,1,0,0,0,2033,18,Yes
649,34,Research & Development,Research Scientist,Male,2,Married,3,4,2,3,3,Yes,6,6,5,1,3,3622,13,No
650,31,Sales,Sales Executive,Male,4,Divorced,3,1,2,1,2,No,9,3,1,1,2,4233,17,Yes
652,35,Research & Development,Laboratory Technician,Male,2,Single,3,4,1,3,3,No,9,3,2,0,2,3681,14,No
653,31,Sales,Sales Executive,Male,4,Divorced,4,4,1,4,4,No,13,7,7,5,7,5460,22,No
655,27,Research & Development,Research Scientist,Female,4,Divorced,3,3,1,2,5,No,6,5,3,0,3,2187,12,No
656,37,Sales,Sales Executive,Male,3,Married,3,3,4,2,3,Yes,17,3,0,1,0,9602,11,No
657,20,Research & Development,Research Scientist,Female,3,Single,3,2,4,4,0,No,1,1,0,0,0,2836,13,No
659,42,Research & Development,Healthcare Representative,Female,4,Married,3,4,3,3,4,No,10,10,2,2,2,4089,13,No
661,43,Research & Development,Research Director,Male,4,Divorced,3,4,2,2,3,Yes,21,1,0,0,0,16627,14,No
662,38,Research & Development,Research Scientist,Female,1,Single,3,1,3,2,3,No,8,0,0,0,0,2619,17,No
663,43,Research & Development,Laboratory Technician,Male,5,Divorced,3,3,4,3,3,Yes,10,8,7,4,7,5679,13,No
664,48,Research & Development,Manager,Female,4,Married,3,1,4,1,3,No,21,3,2,0,2,15402,11,No
665,44,Human Resources,Human Resources,Female,4,Single,3,3,1,4,1,No,10,2,2,0,2,5985,11,No
666,34,Sales,Sales Representative,Female,3,Divorced,3,3,3,3,3,Yes,8,8,2,0,6,2579,18,No
667,27,Sales,Sales Representative,Male,1,Divorced,3,1,3,3,3,No,5,4,3,0,2,3041,11,Yes
669,21,Sales,Sales Representative,Male,1,Single,3,3,3,3,2,No,3,3,2,1,2,3447,11,No
671,44,Research & Development,Manager,Male,4,Married,3,4,4,4,2,Yes,26,2,2,0,1,19513,12,No
